x,y,z
0.7,0,0
0.696203,0.000487,0
0.68519,0.002373,0
0.667844,0.00596,0
0.645073,0.011024,0
0.617488,0.017033,0
0.585293,0.023458,0
0.548455,0.03028,0
0.50747,0.037766,0
0.463042,0.045974,0
0.415952,0.054872,0
0.367064,0.064353,0
0.317331,0.074214,0
0.26783,0.084095,0
0.219832,0.093268,0
0.174243,0.099392,0
0.128461,0.10176,0
0.082612,0.10184,0
0.03726,0.10007,0
-0.00703,0.096703,0
-0.049753,0.091908,0
-0.090424,0.085851,0
-0.128591,0.078687,0
-0.15,0.073761138,0
-0.163826,0.07058,0
-0.195737,0.061697,0
-0.223965,0.052224,0
-0.248177,0.042352,0
-0.26809,0.032299,0
-0.28341,0.02229,0
-0.293974,0.012615,0
-0.299342,0.003723,0
-0.299796,0.001942,0
-0.3,-0.00002,0
-0.299787,-0.001794,0
-0.298955,-0.003477,0
-0.298792,-0.003724,0
-0.297602,-0.005266,0
-0.290687,-0.011499,0
-0.27677,-0.020399,0
-0.25768,-0.030269,0
-0.234123,-0.040821,0
-0.206574,-0.051923,0
-0.175889,-0.063082,0
-0.15,-0.071300534,0
-0.142347,-0.07373,0
-0.106262,-0.083567,0
-0.068086,-0.092442,0
-0.028562,-0.099905,0
0.011968,-0.105281,0
0.05337,-0.108181,0
0.095329,-0.108011,0
0.138273,-0.104552,0
0.18192,-0.097347,0
0.227928,-0.086571,0
0.276211,-0.073979,0
0.326092,-0.060644,0
0.376744,-0.047441,0
0.427211,-0.0351,0
0.476432,-0.024204,0
0.523285,-0.015163,0
0.56663,-0.008204,0
0.605365,-0.003363,0
0.638474,-0.000487,0
0.665086,0.000743,0
0.684478,0.000775,0
0.696141,0.00029,0
0.7,0,0
